Year,Facility,Attendance
2016,Fort Ontario,93174
2016,Long Point Marina,105764
2016,Genesee River Park,1580
2016,Blauvelt,32019
2016,Pinnacle Golf,0
2016,Keuka Lake St Pk,121969
2016,Taughannock Falls St Pk,563851
2016,Highland Lakes,8638
2016,Four  Mile Creek,82038
2016,Thousand Island Admin.,0
2016,Palisades,14811
2016,Gantry Plaza,1438680
2016,Pine Grove Boatlaunch,15142
2016,Chimney Bluffs,84623
2016,Hook Mountain,26603
2016,Point Au Roche Boat Lau,14168
2016,Schuyler Mansion,9971
2016,Old Erie Canal,96895
2016,Goosepond Mountain,6315
2016,Black Lk Boat Launch,15394
2016,Montauk Downs,98426
2016,Sunken Meadow St Pk,2877481
2016,Mary Island River Park,1876
2016,Empire Fulton Ferry,0
2016,Evangola St Pk,148556
2016,Glimmerglass State Park,155974
2016,Clark Reservation,81771
2016,Trailview,137174
2016,Letchworth State Park,782603
2016,Durand Eastman,19505
2016,Olana,173644
2016,Golden Hill St Pk,81227
2016,Irondquoit Bay Boat Lnch,45293
2016,Schoharie Crossing,78550
2016,Herkimer Home,39657
2016,Canoe-Picnic Pnt River,6686
2016,Shadmore,48855
2016,Senate House,39661
2016,Big 6 Marina,91542
2016,Riverbank Fitness Cntr,12144
2016,Wildwood State Park,317675
2016,Old Croton Aqueduct,1278747
2016,Brookhaven State Park,0
2016,Schunnemunk State Park,52941
2016,Allegany Quaker Area,789045
2016,Athens,0
2016,Eel Weir St Park,3613
2016,Grafton Lakes St Pk,255114
