Year,Facility,Attendance,LastAttendance
2020,Hamlin Beach State ,384196,345821.0
2019,Hamlin Beach State ,345821,324264.0
2018,Hamlin Beach State ,324264,302246.0
2017,Hamlin Beach State ,302246,360788.0
2016,Hamlin Beach State ,360788,326869.0
2015,Hamlin Beach State ,326869,278098.0
2014,Hamlin Beach State ,278098,0.0
2013,Hamlin Beach State ,260421,287107.0
2012,Hamlin Beach State ,287107,278532.0
2011,Hamlin Beach State ,278532,271309.0
2010,Hamlin Beach State ,271309,248348.0
2009,Hamlin Beach State ,248348,246088.0
2008,Hamlin Beach State ,246088,282950.0
2007,Hamlin Beach State ,282950,247546.0
2006,Hamlin Beach State ,247546,259153.0
2005,Hamlin Beach State ,259153,240568.0
2004,Hamlin Beach State ,240568,266910.0
2003,Hamlin Beach State ,266910,46016.0
2020,Harriman Beaver Pond,46016,75051.0
2019,Harriman Beaver Pond,75051,72970.0
2018,Harriman Beaver Pond,72970,72713.0
2017,Harriman Beaver Pond,72713,67689.0
2016,Harriman Beaver Pond,67689,46536.0
2015,Harriman Beaver Pond,46536,38657.0
2014,Harriman Beaver Pond,38657,0.0
2013,Harriman Beaver Pond,42239,38355.0
2012,Harriman Beaver Pond,38355,31795.0
2011,Harriman Beaver Pond,31795,42433.0
2010,Harriman Beaver Pond,42433,41347.0
2009,Harriman Beaver Pond,41347,66551.0
2008,Harriman Beaver Pond,66551,73018.0
2007,Harriman Beaver Pond,73018,61626.0
2006,Harriman Beaver Pond,61626,70217.0
2005,Harriman Beaver Pond,70217,75202.0
2004,Harriman Beaver Pond,75202,67376.0
2003,Harriman Beaver Pond,67376,32697.0
2020,Harriman Group Camp,32697,191153.0
2019,Harriman Group Camp,191153,184657.0
2018,Harriman Group Camp,184657,193147.0
2017,Harriman Group Camp,193147,125039.0
2016,Harriman Group Camp,125039,160806.0
2015,Harriman Group Camp,160806,161080.0
2014,Harriman Group Camp,161080,0.0
2013,Harriman Group Camp,174593,197908.0
2012,Harriman Group Camp,197908,200834.0
2011,Harriman Group Camp,200834,202662.0
2010,Harriman Group Camp,202662,178459.0
2009,Harriman Group Camp,178459,107889.0
2008,Harriman Group Camp,107889,149039.0
2007,Harriman Group Camp,149039,177387.0
2006,Harriman Group Camp,177387,250381.0
2005,Harriman Group Camp,250381,339197.0
2004,Harriman Group Camp,339197,319970.0
2003,Harriman Group Camp,319970,257800.0
2020,Harriman Hiker Trail,257800,118189.0
2019,Harriman Hiker Trail,118189,126330.0
2018,Harriman Hiker Trail,126330,131732.0
2017,Harriman Hiker Trail,131732,126885.0
2016,Harriman Hiker Trail,126885,97201.0
2015,Harriman Hiker Trail,97201,64778.0
2014,Harriman Hiker Trail,64778,0.0
2013,Harriman Hiker Trail,45420,76800.0
2012,Harriman Hiker Trail,76800,86848.0
2011,Harriman Hiker Trail,86848,39467.0
2010,Harriman Hiker Trail,39467,35363.0
2009,Harriman Hiker Trail,35363,29976.0
2008,Harriman Hiker Trail,29976,31857.0
2007,Harriman Hiker Trail,31857,30402.0
2006,Harriman Hiker Trail,30402,29847.0
2005,Harriman Hiker Trail,29847,27100.0
2004,Harriman Hiker Trail,27100,24424.0
2003,Harriman Hiker Trail,24424,17248.0
2020,Haverstraw Beach,17248,22266.0
2019,Haverstraw Beach,22266,23725.0
2018,Haverstraw Beach,23725,22303.0
2017,Haverstraw Beach,22303,22067.0
2016,Haverstraw Beach,22067,25599.0
2015,Haverstraw Beach,25599,30152.0
2014,Haverstraw Beach,30152,0.0
2013,Haverstraw Beach,22922,13379.0
2012,Haverstraw Beach,13379,11410.0
2011,Haverstraw Beach,11410,10576.0
2010,Haverstraw Beach,10576,13993.0
2009,Haverstraw Beach,13993,16482.0
2008,Haverstraw Beach,16482,17642.0
2007,Haverstraw Beach,17642,26743.0
2006,Haverstraw Beach,26743,43580.0
2005,Haverstraw Beach,43580,0.0
2004,Haverstraw Beach,0,0.0
2003,Haverstraw Beach,0,1611171.0
